date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:37:55	225372/225372	---M--	200	added ('OK')	image/webp	etag:%228a63ade70c97e9a47b4e596e089e5ea5%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/eef644ee-d81b-4312-823f-4b53edb4c1ae/header-6.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/eef644ee-d81b-4312-823f-4b53edb4c1ae/header-6.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:56	194784/194784	---M--	200	added ('OK')	image/webp	etag:%22d7c2d37568184e0c90f382b973627bbf%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/bf132453-3c04-4acc-8899-9d3544273619/header-7.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/bf132453-3c04-4acc-8899-9d3544273619/header-7.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:56	233338/233338	---M--	200	added ('OK')	image/webp	etag:%2239f5c4c2813004bd3c59a0fd337f28d1%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/514c0ff8-437a-43ed-98d9-d78a0a789a60/header-8.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/514c0ff8-437a-43ed-98d9-d78a0a789a60/header-8.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:56	201264/201264	---M--	200	added ('OK')	image/webp	etag:%22c2666c9b2f4675763f94e3a91815a678%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/3d301caa-1f4d-46f8-b50d-9ebfb25f97f4/header-9.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/3d301caa-1f4d-46f8-b50d-9ebfb25f97f4/header-9.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:57	319106/319106	---M--	200	added ('OK')	image/webp	etag:%22b4224adca5b0af90785e84a75b7534e6%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/2e8f450e-336d-4b4b-9951-428a8fdbbff2/header-10.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/2e8f450e-336d-4b4b-9951-428a8fdbbff2/header-10.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:57	476059/476059	---M--	200	added ('OK')	image/png	etag:%2225a47d20e29859595dcd8d6cd8fafddc%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/8cc179e7-8157-4e4d-a201-92e728afc125/icon-ticket-white.png	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/8cc179e7-8157-4e4d-a201-92e728afc125/icon-ticket-white.png	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:57	148715/148715	---M--	200	added ('OK')	image/png	etag:%2259fc43e7235ba812e75afd3b5254961b%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/14fcc04d-1ca6-4119-bc23-9e6ee4368be5/icon-ticket-red.png	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/14fcc04d-1ca6-4119-bc23-9e6ee4368be5/icon-ticket-red.png	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:58	78637/78637	---M--	200	added ('OK')	image/png	etag:%220246d24985494cbbbc10348c5f425059%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/4b636ec5-0aa9-46d7-bab0-393009be4240/icon-truck.png	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/4b636ec5-0aa9-46d7-bab0-393009be4240/icon-truck.png	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:58	236661/236661	---M--	200	added ('OK')	image/png	etag:%22078cfcb0173f9fec0250027d96471f8c%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/d668de83-eec2-4b8c-9e25-3ecbb3c8ef75/icon-grid-selector.png	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/d668de83-eec2-4b8c-9e25-3ecbb3c8ef75/icon-grid-selector.png	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:59	242134/242134	---M--	200	added ('OK')	image/png	etag:%22bd70c278d6e6f675da5c0feb62d44b7d%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/ecf8de5c-10e9-4e0e-ba20-3da03279fa38/icon-shield.png	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/ecf8de5c-10e9-4e0e-ba20-3da03279fa38/icon-shield.png	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:59	16506/16506	---M--	200	added ('OK')	image/jpeg	etag:%221985d6b931885b37156c1c14bd9ecbaa%22	https://tlktokbrazil.vercel.app/assets/matiastiktokshop-Dzlv2PAj.jpg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/assets/matiastiktokshop-Dzlv2PAj.jpg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:59	80779/80779	---M--	200	added ('OK')	image/jpeg	etag:%22613efed2e3eaec9cdc5dc2a3cbcf484f%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/2a5218d9-af50-408d-bcde-7cd85f22d792/matiastiktokshop.jpeg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/2a5218d9-af50-408d-bcde-7cd85f22d792/matiastiktokshop.jpeg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:37:59	13009/13009	---M--	200	added ('OK')	image/jpeg	etag:%22fd0fa572a27ede1bcdcffee0a8945b05%22	https://tlktokbrazil.vercel.app/assets/diego_shop-DxXvSR5D.jpg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/assets/diego_shop-DxXvSR5D.jpg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:00	132231/132231	---M--	200	added ('OK')	image/jpeg	etag:%2275fb14e4176dee2f0547b1be4d4932be%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/32c863ef-dba9-4bea-a772-358bbd7bd48c/diego_shop.jpeg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/32c863ef-dba9-4bea-a772-358bbd7bd48c/diego_shop.jpeg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:00	25378/25378	---M--	200	added ('OK')	image/jpeg	etag:%2261d24396893afe223744d2e7a1dad52b%22	https://tlktokbrazil.vercel.app/assets/falapiazao-Cxi4X-Du.jpg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/assets/falapiazao-Cxi4X-Du.jpg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:01	115955/115955	---M--	200	added ('OK')	image/jpeg	etag:%2252929ca8cf916abf6bf0e13e561c79ca%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/77fee8d5-56a9-4b6c-a11b-c38760b650a9/falapiazao.jpeg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/77fee8d5-56a9-4b6c-a11b-c38760b650a9/falapiazao.jpeg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:01	32748/32748	---M--	200	added ('OK')	image/jpeg	etag:%22b8d490494b8283aff9fa2cc90d2631b8%22	https://tlktokbrazil.vercel.app/assets/gilson_indica-b-qgThT7.jpg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/assets/gilson_indica-b-qgThT7.jpg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:01	7160/7160	---M--	200	added ('OK')	image/jpeg	etag:%22880056b455b25684edbad9608748e6e0%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/9f8b40bd-d9d0-4697-8b7b-c1ccac8ee43c/gilson_indica.jpeg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/9f8b40bd-d9d0-4697-8b7b-c1ccac8ee43c/gilson_indica.jpeg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:01	28247/28247	---M--	200	added ('OK')	image/jpeg	etag:%22cc9bb9e2a2237454ab2238c3171d3593%22	https://tlktokbrazil.vercel.app/assets/gilson_indica_copy-t7evJ0Lv.jpg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/assets/gilson_indica_copy-t7evJ0Lv.jpg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:02	27624/27624	---M--	200	added ('OK')	image/jpeg	etag:%224c96bbd75fba85e0408d4a388bf8780d%22	https://tlktokbrazil.vercel.app/assets/dilsopedreiro-BPZrIVxn.jpg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/assets/dilsopedreiro-BPZrIVxn.jpg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:02	130094/130094	---M--	200	added ('OK')	image/jpeg	etag:%2256568fe4b623bef393dcd8a75adfed66%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/eade941f-134a-4912-9b40-c07c1f2e50fa/dilsopedreiro.jpeg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/eade941f-134a-4912-9b40-c07c1f2e50fa/dilsopedreiro.jpeg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:02	34438/34438	---M--	200	added ('OK')	image/jpeg	etag:%223b836c640b743f8f262e56318d0c3134%22	https://tlktokbrazil.vercel.app/assets/jeff_ferramentas-nzCNsRMZ.jpg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/assets/jeff_ferramentas-nzCNsRMZ.jpg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:03	157034/157034	---M--	200	added ('OK')	image/jpeg	etag:%225d1181bb97544c4921ffc47c15f634ad%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/c168dcf2-005e-400f-bcc9-211ee06c15f8/jeff_ferramentas.jpg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/c168dcf2-005e-400f-bcc9-211ee06c15f8/jeff_ferramentas.jpg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:03	29164/29164	---M--	200	added ('OK')	image/jpeg	etag:%221ed5f3413b5420a6d7ce1f17e25f7bd8%22	https://tlktokbrazil.vercel.app/assets/gledsonsoares-CiawGlT-.jpg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/assets/gledsonsoares-CiawGlT-.jpg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:03	155175/155175	---M--	200	added ('OK')	image/jpeg	etag:%2242575ef2b016161f5de7af884631149c%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/b693c783-3e49-46f6-a09b-45bb47e7ffc9/gledsonsoares.jpeg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/b693c783-3e49-46f6-a09b-45bb47e7ffc9/gledsonsoares.jpeg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:04	29164/29164	---M--	200	added ('OK')	image/jpeg	etag:%22ce50f5bbe330814f9f043724034380d9%22	https://tlktokbrazil.vercel.app/assets/josieldicas-DiaaG05Y.jpg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/assets/josieldicas-DiaaG05Y.jpg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:04	112238/112238	---M--	200	added ('OK')	image/jpeg	etag:%22a610267b135c2e7142d3d857efb493bd%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/9cab218a-f0d1-4aa1-b346-fe1ad16b4b18/josieldicas.jpeg	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/9cab218a-f0d1-4aa1-b346-fe1ad16b4b18/josieldicas.jpeg	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:05	83786/83786	---MCZ	200	added ('OK')	text/html	etag:W/%22c69402c69c092a1a43a7fc3ce96b6760%22	https://tlktokbrazil.vercel.app/avaliacoes	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/avaliacoes.html	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:05	62040/62040	---M--	200	added ('OK')	image/webp	etag:%2221c98feafa0bde985e1cf268cf3adfd7%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/5f7041ac-a03e-4afd-b134-8183eab9426e/avaliacao20-foto1.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/5f7041ac-a03e-4afd-b134-8183eab9426e/avaliacao20-foto1.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:05	101778/101778	---M--	200	added ('OK')	image/webp	etag:%22299d62c9e7af59ab367b572f3a9e1558%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/9902bc05-0b2b-4b4f-9c34-993b6aaa497a/avaliacao6-foto1.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/9902bc05-0b2b-4b4f-9c34-993b6aaa497a/avaliacao6-foto1.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:06	104964/104964	---M--	200	added ('OK')	image/webp	etag:%223ad43cde38f23c93d24c3bdd781b4d58%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/804e5b41-b3a4-4b72-85f8-abab894f7d68/avaliacao15-foto1.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/804e5b41-b3a4-4b72-85f8-abab894f7d68/avaliacao15-foto1.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
02:38:06	144398/144398	---M--	200	added ('OK')	image/webp	etag:%22ebe8cc703701cca576e18cec6274b717%22	https://tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/2311ab1e-62a8-4cbf-b735-7f95aea03981/avaliacao15-foto2.webp	C:/Users/mendo/OneDrive/%c3%81rea%20de%20Trabalho/bike%20eletrica/bike%20eletrica/tlktokbrazil.vercel.app/promotiktok.b-cdn.net/media/2311ab1e-62a8-4cbf-b735-7f95aea03981/avaliacao15-foto2.webp	(from https://tlktokbrazil.vercel.app/ferramenta?catalog_sku=71982339-2023-0169%26utm_source=tiktok%26utm_medium=catalog%26utm_campaign=cat_c4354c89%26utm_content=fc0e3e23%26utm_term=user_13)
